Porosity,Permeability,Formation_Strength,Oil_Production_Rate,Water_Cut,Gas_Oil_Ratio,Reservoir_Pressure,Bottom_Hole_Pressure,Drawdown_Pressure,Sand_Grain_Size,Formation_Depth,Well_Age_Days,Completion_Type,Production_Rate_Change,Pressure_Decline_Rate,Sand_Production
0.17,1.67,7541.75,521.71,0.16,1400.47,4082.02,2595.99,718.06,0.12,3195.99,2142.5468911798007,0,-25.46,59.36,0
0.13,9.42,8331.26,268.94,0.12,1083.35,3884.49,2725.28,989.79,0.21,1973.02,3502.9623183630833,0,161.55,46.51,0
0.25,3.09,4283.74,777.15,0.31,658.67,3194.61,2513.42,455.29,0.17,2206.41,1488.1250901415224,0,36.28,60.9,0
0.17,10.65,11012.71,494.7,0.47,894.37,3548.71,3079.95,659.63,0.12,2669.7,2522.0711471346162,1,15.15,46.67,0
0.23,1.47,5442.84,522.68,0.41,429.09,4111.27,2368.16,632.63,0.11,3016.83,3167.97056493486,0,-33.84,22.53,0
0.29,5.37,5867.98,607.76,0.25,919.22,4081.51,2718.24,581.32,0.18,1721.83,3583.059398579684,1,-50.83,38.58,0
0.16,2.66,7133.7,426.76,0.45,1127.53,4288.54,3321.43,687.05,0.2,2924.63,3526.4475348712645,1,14.7,58.65,0
0.23,18.1,8915.35,531.86,0.48,945.03,3856.59,2986.95,585.53,0.18,2080.44,3456.0511638233006,2,-23.06,18.2,0
0.15,1.0,8825.19,813.81,0.34,722.87,3514.59,3207.38,571.08,0.11,1836.36,2630.2662618409004,1,-65.51,72.41,0
0.19,5.44,10108.47,679.39,0.29,1090.93,3265.41,2232.64,549.8,0.21,2096.95,2295.094302448478,0,10.24,85.95,0
0.24,1.0,8434.01,554.66,0.17,183.29,3389.16,2795.57,634.28,0.18,2934.23,2676.8012959163243,0,-28.55,44.12,0
0.16,1.47,8619.72,578.72,0.27,979.3,3480.39,2365.5,631.72,0.19,1717.84,866.8147685616435,0,45.24,40.24,0
0.21,9.77,6660.84,422.68,0.44,1096.68,3650.59,2659.6,523.31,0.12,2154.33,39.61332609008101,0,40.83,44.7,0
0.15,8.69,10929.59,558.53,0.62,379.84,3447.9,2733.47,670.81,0.11,2822.3,1715.4559470726092,0,6.16,91.41,0
0.18,5.41,3637.01,467.36,0.33,700.82,3417.84,2955.99,651.15,0.11,2486.71,3175.3938809743927,0,53.04,22.42,0
0.15,3.13,9214.79,654.76,0.36,750.01,3605.89,3404.95,1138.02,0.15,2047.01,363.42964291405286,0,-100.12,16.64,0
0.14,5.3,3882.05,613.51,0.18,1266.45,4195.72,2595.9,607.99,0.13,3664.59,1902.2634906904548,0,102.1,48.55,0
0.18,2.98,8228.4,606.03,0.37,978.79,3216.66,2487.63,419.23,0.2,3115.67,3241.8949837014675,0,-31.0,87.24,0
0.15,8.94,10432.81,625.88,0.51,1274.53,4032.71,2581.9,843.57,0.11,2705.44,564.2887544163337,0,26.26,72.78,0
0.22,2.42,9724.23,318.83,0.36,871.22,3762.6,2602.16,395.99,0.15,2276.53,3472.426506012677,1,-8.79,55.07,0
0.17,1.58,6533.09,446.93,0.29,389.62,2877.17,2776.14,977.66,0.05,2580.03,2143.419349073621,1,86.39,13.33,0
0.26,10.99,6578.7,721.42,0.06,666.25,3776.09,2976.53,1029.84,0.12,3479.32,186.4478873238386,1,37.6,88.57,0
0.2,3.52,6242.25,543.64,0.37,487.89,4091.12,2982.68,760.83,0.17,3031.99,2960.0452299838666,1,-44.45,46.72,0
0.19,2.84,8373.34,568.15,0.37,635.55,3815.15,2294.58,438.03,0.18,2734.37,3569.013815798799,0,58.79,15.14,0
0.26,50.0,5792.64,928.15,0.95,1450.61,4202.45,3655.72,1433.69,0.25,3043.76,3275.8044181851296,2,-54.19,50.0,1
0.3,3.65,9610.12,514.53,0.35,682.17,2908.74,2975.05,446.78,0.17,1890.61,184.74997849875678,0,21.9,49.07,0
0.21,3.86,8799.99,409.48,0.57,691.52,3439.89,2656.73,647.07,0.14,2550.85,2444.3812020127048,1,-17.47,53.31,0
0.17,8.39,9415.4,387.83,0.34,1517.19,3156.86,2534.58,547.75,0.09,2262.22,2576.026603269632,1,-44.54,52.96,0
0.27,50.0,4959.21,375.06,0.39,1262.08,3590.73,2647.64,2295.44,0.27,2102.57,2829.4609573305975,1,-51.28,140.37,1
0.17,2.38,6982.5,175.6,0.25,1350.15,4443.55,3344.24,883.57,0.21,1756.95,452.7124848723945,0,44.36,53.03,0
0.23,3.06,6970.09,738.43,0.25,1391.41,3725.71,3742.25,946.02,0.17,1318.22,694.7603964174559,0,-22.36,60.27,0
0.29,13.62,6386.16,502.26,0.2,1227.77,3569.48,2346.3,392.33,0.15,2435.23,2270.323383807077,1,-43.97,65.49,0
0.31,50.0,5107.13,940.04,0.33,1013.7,2589.16,2085.55,1733.38,0.24,1831.75,1592.68955284246,2,-96.58,69.05,1
0.25,50.0,4165.63,798.2,0.13,731.01,5511.88,2439.21,1234.62,0.19,2135.72,546.7802870019125,0,-168.53,189.41,1
0.27,8.76,5972.44,451.7,0.05,100.0,2892.11,2926.91,866.49,0.15,2825.24,2448.9715768181713,0,30.28,32.32,0
0.22,6.24,8114.78,775.16,0.36,853.37,4092.87,3116.72,534.53,0.11,2341.07,2013.6962283991027,2,42.85,95.24,0
0.14,2.32,10337.44,86.82,0.5,705.87,3264.09,2343.62,802.59,0.15,2472.31,139.92522353199905,1,-3.79,40.84,0
0.35,50.0,5792.83,916.96,0.45,1154.88,2708.94,1685.86,1637.46,0.19,1699.33,2092.303933092235,2,-137.58,75.47,1
0.29,50.0,3379.29,447.37,0.34,1076.29,4803.93,3113.29,1337.62,0.22,1856.88,2514.15779372117,1,-117.78,106.83,1
0.24,2.52,8538.27,507.03,0.31,737.09,3703.4,2657.29,675.02,0.12,2086.04,956.2542295914343,0,101.91,28.43,0
0.19,3.45,8243.33,596.24,0.32,797.97,3378.38,2388.11,670.51,0.05,2142.98,557.1455439438289,0,-4.49,60.14,0
0.19,2.15,7957.27,398.55,0.11,728.11,3101.86,2133.94,419.44,0.16,2682.93,674.6864044453948,0,30.0,23.71,0
0.19,6.0,7331.36,486.93,0.37,816.66,3590.44,2625.58,461.01,0.05,2195.15,2778.8243442688986,1,-15.15,46.54,0
0.27,10.02,8027.38,407.84,0.45,927.47,4342.0,2901.14,791.36,0.11,2433.41,3403.962624491317,1,96.98,70.77,0
0.25,4.8,8049.16,394.35,0.41,1005.39,3737.92,2570.63,607.42,0.12,3196.16,1012.630267458214,0,-24.35,45.38,0
0.27,5.18,9291.03,408.73,0.33,218.61,3102.61,2597.21,703.4,0.22,2677.46,1607.2107281459744,1,-25.35,45.99,0
0.16,2.09,6217.42,467.95,0.1,699.69,3161.96,2887.96,725.57,0.15,2537.08,559.69047174692,0,36.18,46.32,0
0.32,50.0,5042.42,747.7,0.5,445.23,3427.32,2581.08,1673.33,0.31,300.0,1977.0132957084365,1,-100.09,104.29,1
0.22,4.85,7113.18,454.51,0.18,993.95,3483.11,2597.51,889.17,0.09,2421.28,2869.0299797698403,1,-32.63,60.2,0
0.23,2.2,10708.5,652.67,0.27,688.1,4243.27,3008.17,622.78,0.1,2493.49,3293.211039906292,0,-44.13,61.53,0
0.26,50.0,6370.08,660.55,0.63,861.14,3106.8,1619.23,1432.03,0.23,1615.05,717.4037307700626,1,-125.69,178.51,1
0.27,50.0,5346.42,633.22,0.81,1139.67,4561.89,2481.91,1695.03,0.21,1898.94,953.3539056189462,1,-143.96,146.51,1
0.16,3.98,9539.13,613.66,0.36,583.32,3405.22,2828.88,927.03,0.14,2047.9,863.1195613019235,0,73.01,47.98,0
0.17,39.2,7590.27,560.66,0.17,921.49,2481.71,3054.05,470.38,0.18,2133.43,1982.1433794824377,0,-32.12,70.29,0
0.19,1.45,7674.76,569.64,0.69,992.72,3743.8,2819.77,596.23,0.1,1553.75,3192.632416340293,2,-21.86,57.39,0
0.21,1.49,9824.01,788.74,0.26,877.34,3772.21,2908.74,882.02,0.1,2498.86,110.96162937485894,1,26.97,39.86,0
0.19,11.36,7430.56,398.55,0.21,952.19,3614.27,2816.41,471.16,0.14,2222.34,603.6475228162872,1,31.35,103.93,0
0.19,3.38,8577.45,375.19,0.61,1277.93,2908.77,2164.98,690.36,0.08,2053.75,344.4642877269564,1,-42.18,42.17,0
0.19,12.2,10654.87,520.45,0.41,447.21,3877.18,3788.99,658.94,0.17,3123.05,3600.006877957625,1,102.07,73.65,0
0.2,22.06,6953.69,595.44,0.31,970.04,2894.83,3023.82,606.35,0.19,2331.15,839.7306201399102,0,-60.47,67.92,0
0.13,14.36,9475.6,539.98,0.3,857.3,3430.98,2959.01,386.78,0.16,3325.39,2373.584161910517,0,-13.9,64.14,0
0.31,50.0,5600.71,766.24,0.49,1198.41,5120.44,2255.19,975.11,0.23,2031.27,2930.387086683203,1,5.67,141.19,1
0.25,50.0,5555.93,774.96,0.46,1068.12,4216.38,2739.29,1548.32,0.23,1374.46,2741.6685026592922,2,-169.43,150.12,1
0.2,1.1,8781.19,443.32,0.17,1027.61,3158.94,2771.69,872.31,0.22,1964.48,664.948945508597,0,-83.05,28.73,0
0.13,1.89,6476.01,608.46,0.41,673.81,3963.91,2804.77,209.91,0.18,1494.56,2027.0829405944387,0,-65.3,70.6,0
0.22,3.85,9743.97,331.81,0.34,497.52,3503.51,2263.32,246.98,0.17,2786.67,3137.0351781996887,0,94.09,57.82,0
0.24,2.28,8897.26,521.62,0.0,750.26,3349.88,3171.53,814.49,0.21,2744.26,2434.690270458373,0,-42.55,66.51,0
0.21,8.56,5722.38,469.93,0.24,517.53,4342.02,2602.08,1100.32,0.18,2401.14,1023.5251838305593,0,12.74,69.33,0
0.21,3.9,7843.17,415.26,0.34,1218.05,3412.01,3173.07,524.84,0.12,2898.42,576.8190329241596,0,-14.87,27.93,0
0.25,50.0,3458.98,888.91,0.26,444.86,3802.81,3097.6,1528.26,0.28,2622.43,1879.8653994806257,1,-98.3,207.34,1
0.14,2.15,6874.97,361.3,0.06,998.35,3074.37,2960.02,622.95,0.23,2530.58,1379.2434113224099,0,-38.89,47.7,0
0.16,6.54,7601.12,574.46,0.2,497.51,3330.3,3304.5,570.87,0.06,2652.39,2031.3537718324856,0,61.36,27.52,0
0.15,8.21,9360.18,327.62,0.34,729.04,3425.67,2263.58,384.22,0.17,2979.07,959.5684182038855,0,-139.26,44.24,0
0.24,4.14,7228.87,679.51,0.56,1235.21,4079.07,3198.78,737.44,0.14,2550.46,2681.5340258587235,0,22.08,34.89,0
0.25,2.91,9984.05,491.79,0.18,365.76,3461.11,2838.01,1024.9,0.15,1658.23,3180.2770695146605,0,-24.83,58.12,0
0.14,8.79,7309.41,695.17,0.32,1002.31,4080.96,2891.76,533.18,0.15,1904.24,1276.5410624742428,0,90.24,66.08,0
0.2,1.97,6613.6,530.49,0.4,694.26,3053.5,3191.93,1251.51,0.15,2930.08,3340.9846733475497,0,33.09,41.89,0
0.33,6.17,8052.94,546.66,0.4,759.81,3570.02,3103.1,876.73,0.09,2169.78,3531.6788379707937,1,-21.06,42.1,0
0.23,5.81,5874.76,171.89,0.56,935.04,3661.55,2492.11,623.74,0.13,2294.25,1756.2218875400135,1,-36.6,6.31,0
0.26,3.9,11552.5,395.65,0.2,670.65,3495.71,1993.69,387.11,0.14,2818.71,3507.2527598975043,0,-54.9,70.67,0
0.15,4.59,5878.31,291.76,0.43,1277.39,3666.21,2763.71,534.94,0.15,3365.83,3261.203406166272,0,0.38,36.04,0
