CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender,Geography,Exited
15000000,850,29,4,40417.97,3,1,1,118865.34,0,0,0
15000001,567,31,0,25607.71,1,1,1,108605.31,0,1,0
15000002,622,56,8,2720.36,1,0,0,34848.51,0,0,0
15000003,650,56,8,28165.9,2,1,1,104055.77,0,0,0
15000004,736,36,2,85170.55,1,0,0,116199.56,1,2,0
15000005,576,60,5,250000.0,2,1,1,134198.19,0,1,0
15000006,669,42,10,10201.87,3,0,1,61562.17,0,0,0
15000007,662,35,0,23023.16,2,1,1,46495.39,1,0,0
15000008,705,25,1,50789.61,2,0,1,77430.52,1,1,0
15000009,646,48,4,42361.99,1,1,1,98146.96,1,0,0
15000010,790,46,6,34618.24,2,1,1,83277.86,0,2,0
15000011,687,76,0,2047.02,2,1,1,55445.78,1,0,0
15000012,554,58,2,21626.62,4,1,0,24347.54,0,0,0
15000013,740,39,10,30943.73,1,1,0,74277.08,1,2,0
15000014,679,31,1,24388.62,3,1,1,102509.94,1,0,0
15000015,579,21,3,60506.78,2,1,0,43558.58,1,0,0
15000016,701,23,0,26620.15,3,1,1,88541.78,0,2,0
15000017,718,60,2,32340.52,1,0,1,80715.47,0,1,1
15000018,682,53,10,18821.21,1,1,0,91326.62,0,1,0
15000019,536,27,1,257.01,1,1,0,28826.04,0,0,1
15000020,589,57,1,670.38,3,1,0,126201.77,1,2,1
15000021,724,42,1,18374.19,1,1,1,103688.43,0,0,0
15000022,715,25,2,176284.58,2,1,1,73845.65,0,0,0
15000023,648,50,3,827.27,2,1,0,83183.72,0,0,1
15000024,543,30,2,91809.02,2,1,1,26737.92,1,2,0
15000025,705,55,0,47555.05,1,1,0,100272.42,0,1,1
15000026,702,39,0,19615.42,2,1,1,143100.77,0,0,0
15000027,646,33,3,250000.0,2,1,0,28637.2,0,0,1
15000028,633,26,5,34880.27,4,1,0,59066.56,1,2,0
15000029,695,25,3,8450.61,2,0,1,141664.89,0,0,1
15000030,698,26,5,28272.91,2,0,0,70178.93,1,1,0
15000031,658,36,4,73363.44,2,0,0,90997.32,0,1,0
15000032,751,47,10,13723.58,1,0,1,55219.25,1,2,0
15000033,685,45,10,36075.04,2,1,1,99818.21,0,0,0
15000034,442,28,4,10034.39,1,1,1,85033.52,1,2,1
15000035,638,33,5,95577.63,2,1,1,28176.78,1,1,0
15000036,773,44,6,19599.84,3,1,1,76309.18,0,0,0
15000037,723,29,0,14294.22,2,1,1,134899.43,1,0,0
15000038,657,32,3,6497.11,2,0,1,27074.29,0,0,0
15000039,525,34,2,28905.07,1,0,0,63427.18,0,1,0
15000040,688,54,2,46894.46,4,1,0,65977.78,1,0,0
15000041,552,66,7,39191.53,3,1,1,76424.23,1,0,0
15000042,605,23,2,297.61,1,1,0,116944.4,1,2,1
15000043,501,39,1,250000.0,1,1,1,124313.58,0,0,0
15000044,614,71,1,1229.39,2,1,0,100259.36,1,1,1
15000045,666,69,5,26566.7,2,0,1,28891.14,1,0,0
15000046,628,57,3,68121.21,2,1,0,66758.65,0,0,0
15000047,543,40,0,35493.1,2,1,1,112879.18,0,0,0
15000048,781,25,3,117725.38,1,0,1,62088.02,1,0,0
15000049,810,45,10,250000.0,1,1,1,94297.48,0,0,0
15000050,507,26,1,54808.15,1,0,1,101660.96,0,2,0
15000051,526,24,0,3992.93,1,0,1,49232.39,0,1,1
15000052,695,18,1,21168.34,2,1,1,40292.75,0,0,0
15000053,639,38,1,1219.56,1,1,0,143457.61,0,0,1
15000054,686,22,1,62083.29,1,1,1,139510.24,0,0,0
15000055,770,33,1,6056.48,1,1,1,27763.76,0,0,0
15000056,633,33,6,29826.23,2,1,0,53662.0,0,0,0
15000057,647,62,0,8284.18,2,1,0,48524.89,1,2,1
15000058,685,47,1,114394.48,2,1,1,76835.5,0,2,0
15000059,647,41,10,125691.89,3,1,1,117532.65,1,0,0
15000060,694,41,3,34726.64,2,1,1,96669.49,1,1,0
15000061,732,37,3,28732.36,4,1,0,109439.95,0,0,0
15000062,578,49,9,27727.16,1,1,1,53025.27,0,2,0
15000063,664,52,5,29267.76,1,1,0,122132.22,1,2,0
15000064,545,24,8,250000.0,1,1,1,54914.56,0,1,0
15000065,643,33,2,1514.54,2,1,0,125072.73,1,1,1
15000066,638,28,2,24855.47,1,1,1,31555.45,0,1,0
15000067,503,66,0,2814.55,1,0,0,93465.67,0,1,1
15000068,621,40,0,69482.75,4,0,1,50013.32,1,0,0
15000069,575,50,1,77316.48,3,1,1,48846.81,0,1,0
15000070,667,42,3,15456.31,2,0,0,42359.94,0,0,0
15000071,652,56,1,8954.79,2,1,1,134321.23,0,1,0
15000072,626,54,5,50199.43,1,1,1,139986.07,0,1,0
15000073,691,38,9,22399.48,3,1,1,148581.18,0,0,0
15000074,667,36,5,3869.11,1,1,1,108152.05,0,0,0
15000075,774,23,1,9095.55,1,1,0,40459.38,1,1,1
15000076,596,60,10,7959.54,4,1,1,51335.69,1,0,0
15000077,576,35,10,4114.55,3,1,1,91234.51,1,0,0
15000078,584,28,3,4168.62,2,1,0,103627.26,0,1,1
15000079,655,61,1,79257.75,2,1,0,94266.61,1,0,0
15000080,639,73,1,121641.69,1,1,0,104901.12,1,1,1
15000081,550,31,3,66463.28,2,1,1,20575.14,1,0,0
15000082,628,54,8,41286.4,1,1,0,80879.43,0,0,0
15000083,697,54,1,35702.01,1,1,1,76173.56,0,0,0
15000084,748,60,1,6042.1,2,0,0,75078.51,1,0,0
15000085,688,53,2,250000.0,3,1,1,52853.01,0,1,0
15000086,735,35,1,250000.0,3,0,0,148452.27,0,0,0
15000087,689,36,1,29202.12,1,1,1,123442.5,1,0,0
15000088,565,65,2,15732.82,4,1,0,99099.2,0,0,1
15000089,721,27,4,58483.1,2,0,1,108056.35,0,2,0
15000090,529,43,1,39775.52,2,1,1,93693.91,1,1,0
15000091,534,38,8,81641.93,3,0,0,54374.21,0,0,0
15000092,534,64,0,12903.22,2,0,0,56592.25,0,0,1
15000093,648,40,9,7517.62,1,1,0,126880.76,0,1,0
15000094,567,30,4,17772.98,2,1,0,100552.02,0,0,0
15000095,579,55,1,240984.96,3,1,1,53864.88,1,1,0
15000096,653,53,3,365.66,1,0,1,66516.51,0,1,1
15000097,743,23,10,5870.18,2,1,1,53159.88,0,0,0
15000098,625,46,1,16729.59,1,1,1,101687.46,1,2,0
15000099,785,38,5,7411.1,4,1,1,91659.81,0,0,0
15000100,742,41,10,46856.01,2,1,1,22587.85,1,1,0
15000101,682,39,1,13620.48,3,1,1,106925.42,0,2,0
15000102,620,48,3,13733.46,3,1,1,64747.81,1,0,0
15000103,525,24,4,23093.22,1,0,0,112028.51,1,1,1
15000104,582,48,10,250000.0,2,1,1,20463.42,1,0,0
15000105,569,48,10,199202.31,3,1,0,145852.3,0,1,0
15000106,713,48,10,10837.77,2,1,1,30826.61,1,1,0
15000107,810,64,3,6204.96,2,1,1,62266.88,0,1,0
15000108,608,73,0,1937.59,3,1,1,78294.05,0,2,1
15000109,706,37,10,29996.78,2,1,1,120759.1,1,2,0
15000110,651,50,4,134342.09,1,0,1,101788.7,0,1,0
15000111,531,50,3,9856.89,2,1,0,110140.98,0,1,0
15000112,688,42,7,97137.32,2,1,1,120174.99,1,0,0
15000113,559,42,2,46369.28,2,1,1,25241.17,1,0,0
15000114,389,31,1,252.11,2,0,1,91687.34,1,1,1
15000115,681,36,2,40621.97,2,1,0,56315.05,1,1,0
15000116,485,44,4,3955.58,1,1,0,23770.51,1,0,0
15000117,594,37,4,25870.67,2,1,1,143283.47,1,1,0
15000118,478,49,7,13638.29,4,1,1,89527.1,1,0,0
15000119,594,52,1,119531.49,2,1,1,21955.49,1,0,0
15000120,603,31,4,12318.84,1,1,0,131909.47,1,1,0
15000121,799,38,10,63100.06,4,1,1,116440.57,1,1,0
15000122,628,32,10,11796.0,2,1,1,79646.3,1,0,0
15000123,728,39,2,19845.45,2,0,0,117765.44,0,0,0
15000124,608,26,0,44462.5,3,1,0,62221.38,0,2,0
15000125,634,55,3,14310.25,1,1,1,124314.75,0,0,0
15000126,618,39,1,250000.0,2,1,1,108737.82,1,1,0
15000127,594,43,6,4206.64,2,1,1,20841.93,0,1,0
15000128,472,60,5,250000.0,1,1,0,31930.33,1,0,1
15000129,635,24,1,185528.77,2,1,1,124893.96,0,1,0
15000130,690,32,10,14176.47,1,1,1,87132.2,1,2,0
15000131,689,50,4,4680.84,2,0,0,134227.36,1,0,0
15000132,672,42,0,14826.56,2,1,0,115598.59,0,0,0
15000133,627,32,0,38285.53,1,1,1,58694.94,0,1,0
15000134,614,23,5,125.96,2,1,0,49013.08,0,1,1
15000135,635,58,1,48342.91,2,0,0,123405.78,1,0,1
15000136,674,56,10,21288.03,1,1,0,139920.69,0,1,0
15000137,671,49,6,8383.28,3,0,1,140087.5,1,0,0
15000138,593,54,1,6578.35,1,0,1,43215.61,1,2,0
15000139,602,26,0,2931.84,2,0,1,98325.95,1,0,1
15000140,710,42,6,68629.19,2,0,1,75952.38,0,1,0
15000141,587,28,5,19258.04,3,1,1,147811.09,1,1,0
15000142,662,36,5,108278.36,1,1,0,58133.29,0,0,0
15000143,565,51,2,10884.21,4,1,1,133035.09,1,0,0
15000144,518,41,0,98296.1,1,0,1,87785.85,1,0,0
15000145,685,50,2,90576.87,2,1,1,139180.88,0,1,0
15000146,555,45,1,22429.22,1,0,1,43731.07,1,2,0
15000147,613,60,4,180383.73,2,1,0,73193.4,1,1,0
15000148,725,51,1,19213.22,1,0,0,61979.03,1,2,0
15000149,563,32,9,12852.9,2,1,0,23046.59,0,1,0
15000150,717,36,0,23684.96,2,1,0,133867.12,1,2,0
15000151,715,48,3,1910.45,2,0,0,38451.73,0,0,0
15000152,640,47,5,173156.44,2,1,0,34651.78,1,0,0
15000153,581,33,3,797.89,1,0,0,122658.5,0,1,1
15000154,708,42,0,220055.49,4,0,1,121786.42,0,2,0
15000155,560,34,10,7268.72,1,1,1,55744.62,0,0,0
15000156,572,26,5,79855.45,1,1,0,123008.82,0,0,0
15000157,798,60,10,36565.69,1,0,0,27222.59,0,0,0
15000158,544,39,0,104337.89,3,1,0,60219.19,0,0,0
15000159,595,38,7,72424.2,2,0,0,38193.18,0,2,0
15000160,627,43,3,23098.59,1,1,1,97221.12,1,0,0
15000161,571,26,1,101203.06,4,1,1,141700.26,1,0,0
15000162,588,39,6,20809.34,1,1,1,105747.09,0,2,0
15000163,688,34,4,29821.77,2,1,1,21887.37,1,2,0
15000164,639,47,2,38934.98,2,1,0,117359.28,0,2,0
15000165,801,42,9,113133.59,2,1,1,123384.42,0,2,0
15000166,571,51,2,1911.04,1,1,0,117813.57,0,0,1
15000167,653,32,2,251.78,1,1,1,48178.78,0,0,1
15000168,722,36,3,104426.4,3,0,0,138682.67,1,0,1
15000169,492,31,7,70253.49,2,0,1,57624.99,0,0,0
15000170,595,20,10,6276.37,1,1,1,22302.65,0,0,0
15000171,729,59,1,155.67,1,0,0,54348.2,0,1,1
15000172,806,65,2,120825.68,3,1,1,31640.2,1,2,0
15000173,705,42,10,7178.25,2,1,1,148426.17,1,0,0
15000174,692,50,2,99843.9,2,1,1,26817.81,1,0,0
15000175,648,52,3,55807.22,2,1,1,26939.08,0,0,0
15000176,706,33,6,60654.34,2,0,1,70633.63,1,0,0
15000177,604,29,2,26608.86,3,0,0,44261.78,1,0,1
15000178,575,52,8,10399.56,2,0,1,24277.14,0,2,0
15000179,690,32,7,5540.51,2,1,1,43878.7,0,1,0
15000180,477,29,1,1980.24,2,1,1,48021.32,1,1,1
15000181,593,46,6,29824.43,2,1,0,110473.15,0,1,0
15000182,602,33,2,189484.35,2,1,1,121211.62,1,0,0
15000183,684,21,4,218007.64,2,0,1,112451.0,1,2,0
15000184,602,57,2,30151.32,2,1,0,91313.06,0,1,0
15000185,699,28,3,128648.97,2,1,1,73383.36,1,0,0
15000186,688,50,0,41614.05,3,1,1,116659.69,1,0,0
15000187,753,44,5,47479.13,1,1,1,81364.92,0,0,0
15000188,713,57,8,48494.41,2,1,0,41966.38,1,0,0
15000189,682,38,4,6792.23,1,1,1,107588.86,0,1,0
15000190,563,27,3,7188.42,1,0,1,23695.4,1,1,1
15000191,609,33,3,18565.99,2,1,1,147045.98,0,2,0
15000192,724,33,10,250000.0,2,1,1,40681.58,1,1,0
15000193,614,35,5,48130.02,2,0,0,88638.88,0,1,0
15000194,746,25,3,1708.43,1,1,0,79871.07,1,2,1
15000195,617,48,2,16094.4,2,1,1,133273.33,0,1,0
15000196,656,60,1,22414.98,1,1,1,125138.94,1,0,0
15000197,601,58,0,24600.15,1,1,1,84031.61,1,2,0
